Complete Genetic Evolution Log
COUNT, GHOST_PROXIMITY_THRESHOLD, HOSTILE_GHOSTS_THRESHOLD, CHASE_THRESHOLD, MIN_DISTANCE, MIN_CLOSE_GHOSTS, GHOSTS_MAX_DISTANCE, AWARENESS_THRESHOLD, Fitness, Best Score, Worst Score 
GENERATION: 0
  0,   96,   4,  75,  30,   0,  70, 140,  14739.333,   33610,    2500
  1,   38,   1,  76,  40,   4,  49,  15,   5669.333,   11280,    3210
  2,   52,   1,  23,  35,   2,  70, 101,  17393.666,   32160,    3990
  3,    3,   0,  18,  82,   0,  61,  55,  12022.667,   24360,    3530
  4,   53,   4,  62,   2,   1,  56, 134,  14477.000,   30790,    3290
  5,   10,   2,  50,  23,   0,  98, 135,  14907.667,   34730,    1800
  6,   95,   2,   6,   9,   3,  41, 154,  13209.000,   29240,    4200
  7,   27,   3,  63,  28,   2,  21,  99,  16436.334,   27740,    6930
  8,   49,   3,  68,  73,   4,   9, 116,  15797.333,   30300,    6380
  9,    9,   4,  77,  51,   2,  22, 121,  14961.000,   47310,    4300
 10,   89,   4,  47,  77,   2,  91,  66,  14143.333,   28710,    4950
 11,   20,   4,  20,  21,   2,   5,  51,  14237.667,   29160,    4310
 12,   21,   1,  50,  47,   2,  53, 156,  16904.666,   39050,    3420
 13,   38,   2,  78,  65,   4,  33, 120,  16731.334,   39530,    4710
 14,   66,   4,  78,  44,   1,  59, 135,  16115.000,   34270,    3470
 15,   41,   2,  12,  43,   4,  72, 125,  15360.000,   27380,    3770
 16,   88,   4,  27,  81,   4,  30, 194,  17908.334,   35120,    2170
 17,   95,   0,  89,   9,   0,   5,  39,  14687.333,   25310,    3690
 18,   68,   1,  45,  63,   1,  78,  45,  18333.000,   40380,    4180
 19,    1,   1,  92,  30,   0,  29,  47,  12943.333,   28980,    3840
 20,   42,   4,  38,  21,   4,   2, 191,  13850.000,   30930,    1970
 21,   26,   2,  67,  50,   3,  20,  30,  17657.334,   40560,    4280
 22,    1,   1,  56,  25,   0,  73,  26,   9948.667,   28290,    1720
 23,   84,   1,  41,  37,   2,  20, 180,  15240.333,   30280,    3370
 24,   58,   2,   9,  29,   1,  85,  71,  14945.000,   41230,    6030
 25,    1,   3,  66,   2,   3,  13,  29,  12355.333,   27830,    4580
 26,    3,   1,  30,  23,   3,  58,  55,  14763.333,   31910,    5200
 27,    0,   2,   0,  39,   1,  28,  91,  14630.000,   31620,    3820
 28,   77,   1,  91,   5,   4,   0,  44,  16112.667,   28780,    3900
 29,    8,   4,   1,  18,   4,  63, 130,  13232.667,   32060,    2850
 30,   38,   1,  37,  60,   3,  39,  45,  16256.667,   26150,    4950
 31,    3,   2,  40,  82,   4,  82, 145,  14591.000,   41950,    4190
 32,   71,   0,  67,  37,   2,  33, 168,  15436.000,   28640,    4380
 33,   89,   3,  71,   1,   1,  89,   5,   4555.333,    8330,    1710
 34,   20,   3,  76,  89,   3,  53,  22,  10760.667,   20950,    3310
 35,   34,   0,  35,   7,   2,  71,  85,  14686.333,   22660,    4160
 36,   84,   4,  49,  82,   2,  96,  67,  13063.667,   31330,    2880
 37,   61,   4,  91,  15,   3,  60,  13,   6708.667,   20710,    1820
 38,   68,   3,  55,  95,   1,   1,   0,  13618.000,   27860,    2540
 39,   22,   4,  21,  73,   2,  85,   3,   1223.667,    6670,     170
 40,   67,   3,  39,  96,   0,  83,  55,  13482.667,   25240,    6050
 41,   67,   3,  63,  31,   3,  60,  49,  15389.333,   27140,    5470
 42,   18,   1,  18,  21,   0,  77, 174,  14892.333,   38340,    3780
 43,   59,   4,  48,  21,   3,  58,  15,   5399.000,    9760,    1960
 44,   45,   3,  53,  67,   1,  23,  24,  17420.000,   33810,    3860
 45,   34,   3,  10,   3,   1,  13, 177,  14875.667,   27990,    3430
 46,   21,   2,  32,  80,   2,  56, 125,  17358.000,   32290,    2780
 47,   32,   2,  80,  62,   4,  29, 113,  16760.334,   35210,    4390
 48,   50,   1,  78,  72,   3,  99, 125,  15194.000,   23420,    5230
 49,   69,   3,  76,  69,   3,   9,  94,  18231.334,   36510,    4270
 50,    5,   1,  31,  62,   1,  90,  82,  14461.000,   32790,    3050
 51,   40,   0,  76,  13,   1,  69, 128,  11851.667,   24660,    2760
 52,   56,   1,  37,  72,   0,  19, 164,  13593.667,   29310,    3830
 53,   92,   2,  29,  24,   1,  79, 120,  14324.000,   29000,    2430
 54,    4,   1,  94,  96,   2,  96, 165,  14680.667,   31180,    3260
 55,   58,   2,  95,   5,   4,  10,  13,   6561.667,   12570,    3720
 56,    5,   1,  97,  31,   1,  20,  31,  13553.000,   28010,    2300
 57,   87,   1,  48,  99,   3,  57,  99,  14004.000,   26100,    3120
 58,   10,   0,   5,  80,   4,  40,  94,  11969.667,   24900,    2400
 59,   30,   0,  97,  35,   2,  23, 137,  10522.667,   19110,    3540
 60,   29,   2,  20,  19,   0,  95, 175,  13802.667,   29970,    4140
 61,   15,   3,  34,  93,   1,  24, 189,  18470.334,   36030,    3270
 62,   90,   3,  43,  72,   2,   8, 166,  11864.667,   20070,    3520
 63,   68,   3,   3,  12,   3,  59,  24,   5689.000,   14010,    1680
 64,   78,   1,  78,  54,   1,  99, 121,  13950.667,   36170,    3850
